dataset,model,split,max_features,num_features,accuracy,sensitivity,specificity,precision,f1-score,CM(TP:TN:FP:FN),model_file
features_all_1D_sum_standarized_zscore_outliers_yes,svm,,5-features,3,0.6182,0.6087,0.6250,0.6264,0.6205,14:20:12:9,model__svm__features_all_1D_sum_standarized_zscore_outliers_yes__5-features__loo.skops
features_all_1H_mean_standarized_zscore-robust_outliers_no,svm,,5-features,4,0.7273,0.5652,0.8438,0.7266,0.7205,13:27:5:10,model__svm__features_all_1H_mean_standarized_zscore-robust_outliers_no__5-features__loo.skops
features_all_1H_mean_standarized_zscore-robust_outliers_yes,svm,,5-features,5,0.7273,0.5217,0.8750,0.7314,0.7162,12:28:4:11,model__svm__features_all_1H_mean_standarized_zscore-robust_outliers_yes__5-features__loo.skops
features_all_1H_mean_standarized_zscore_outliers_no,svm,,5-features,4,0.8182,0.7826,0.8438,0.8182,0.8182,18:27:5:5,model__svm__features_all_1H_mean_standarized_zscore_outliers_no__5-features__loo.skops
features_all_1H_mean_standarized_zscore_outliers_yes,svm,,5-features,3,0.8182,0.7826,0.8438,0.8182,0.8182,18:27:5:5,model__svm__features_all_1H_mean_standarized_zscore_outliers_yes__5-features__loo.skops
features_all_1H_median_standarized_zscore_outliers_no,svm,,5-features,5,0.8364,0.8261,0.8438,0.8378,0.8368,19:27:5:4,model__svm__features_all_1H_median_standarized_zscore_outliers_no__5-features__loo.skops
features_all_1H_median_standarized_zscore_outliers_yes,svm,,5-features,4,0.7818,0.6957,0.8438,0.7806,0.7802,16:27:5:7,model__svm__features_all_1H_median_standarized_zscore_outliers_yes__5-features__loo.skops
features_all_1H_sum_standarized_zscore-robust_outliers_no,svm,,5-features,4,0.7273,0.5652,0.8438,0.7266,0.7205,13:27:5:10,model__svm__features_all_1H_sum_standarized_zscore-robust_outliers_no__5-features__loo.skops
features_all_1H_sum_standarized_zscore-robust_outliers_yes,svm,,5-features,5,0.7273,0.5217,0.8750,0.7314,0.7162,12:28:4:11,model__svm__features_all_1H_sum_standarized_zscore-robust_outliers_yes__5-features__loo.skops
features_all_1H_sum_standarized_zscore_outliers_no,svm,,5-features,4,0.8182,0.7826,0.8438,0.8182,0.8182,18:27:5:5,model__svm__features_all_1H_sum_standarized_zscore_outliers_no__5-features__loo.skops
features_all_1H_sum_standarized_zscore_outliers_yes,svm,,5-features,3,0.8182,0.7826,0.8438,0.8182,0.8182,18:27:5:5,model__svm__features_all_1H_sum_standarized_zscore_outliers_yes__5-features__loo.skops
features_all_1D_mean_standarized_zscore-robust_outliers_no,svm,,10-features,8,0.6727,0.6957,0.6562,0.6842,0.6749,16:21:11:7,model__svm__features_all_1D_mean_standarized_zscore-robust_outliers_no__10-features__loo.skops
features_all_1D_mean_standarized_zscore-robust_outliers_yes,svm,,10-features,6,0.6727,0.5217,0.7812,0.6682,0.6668,12:25:7:11,model__svm__features_all_1D_mean_standarized_zscore-robust_outliers_yes__10-features__loo.skops
features_all_1D_mean_standarized_zscore_outliers_no,svm,,10-features,6,0.6000,0.1304,0.9375,0.6000,0.5153,3:30:2:20,model__svm__features_all_1D_mean_standarized_zscore_outliers_no__10-features__loo.skops
features_all_1D_mean_standarized_zscore_outliers_yes,svm,,10-features,6,0.6000,0.1304,0.9375,0.6000,0.5153,3:30:2:20,model__svm__features_all_1D_mean_standarized_zscore_outliers_yes__10-features__loo.skops
features_all_1D_sum_standarized_zscore-robust_outliers_no,svm,,10-features,8,0.6727,0.6957,0.6562,0.6842,0.6749,16:21:11:7,model__svm__features_all_1D_sum_standarized_zscore-robust_outliers_no__10-features__loo.skops
features_all_1D_sum_standarized_zscore-robust_outliers_yes,svm,,10-features,6,0.6727,0.5217,0.7812,0.6682,0.6668,12:25:7:11,model__svm__features_all_1D_sum_standarized_zscore-robust_outliers_yes__10-features__loo.skops
features_all_1D_sum_standarized_zscore_outliers_no,svm,,10-features,6,0.6000,0.1304,0.9375,0.6000,0.5153,3:30:2:20,model__svm__features_all_1D_sum_standarized_zscore_outliers_no__10-features__loo.skops
features_all_1D_sum_standarized_zscore_outliers_yes,svm,,10-features,6,0.6000,0.1304,0.9375,0.6000,0.5153,3:30:2:20,model__svm__features_all_1D_sum_standarized_zscore_outliers_yes__10-features__loo.skops
features_all_1H_mean_standarized_zscore-robust_outliers_no,svm,,10-features,6,0.7273,0.5217,0.8750,0.7314,0.7162,12:28:4:11,model__svm__features_all_1H_mean_standarized_zscore-robust_outliers_no__10-features__loo.skops
features_all_1H_mean_standarized_zscore-robust_outliers_yes,svm,,10-features,6,0.7273,0.5217,0.8750,0.7314,0.7162,12:28:4:11,model__svm__features_all_1H_mean_standarized_zscore-robust_outliers_yes__10-features__loo.skops
features_all_1H_mean_standarized_zscore_outliers_no,svm,,10-features,10,0.8364,0.7826,0.8750,0.8358,0.8358,18:28:4:5,model__svm__features_all_1H_mean_standarized_zscore_outliers_no__10-features__loo.skops
features_all_1H_mean_standarized_zscore_outliers_yes,svm,,10-features,7,0.7818,0.7826,0.7812,0.7859,0.7828,18:25:7:5,model__svm__features_all_1H_mean_standarized_zscore_outliers_yes__10-features__loo.skops
features_all_1H_median_standarized_zscore_outliers_no,svm,,10-features,5,0.7818,0.7391,0.8125,0.7818,0.7818,17:26:6:6,model__svm__features_all_1H_median_standarized_zscore_outliers_no__10-features__loo.skops
features_all_1H_median_standarized_zscore_outliers_yes,svm,,10-features,4,0.8364,0.9130,0.7812,0.8524,0.8375,21:25:7:2,model__svm__features_all_1H_median_standarized_zscore_outliers_yes__10-features__loo.skops
features_all_1H_sum_standarized_zscore-robust_outliers_no,svm,,10-features,6,0.7273,0.5217,0.8750,0.7314,0.7162,12:28:4:11,model__svm__features_all_1H_sum_standarized_zscore-robust_outliers_no__10-features__loo.skops
